fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
1,0.9,0.166827734,-1,88,50,0.020925173,-1.331344963,AA,769,10650.76552,3134.31963,3863.64774,1,6,CA,185,0,BA,1,0,24,0,500,0,INTERNET,3.888114605,windows,0,1,0,7
1,0.9,0.296286005,-1,144,50,0.005417538,-0.816223755,AB,366,534.0473189,2670.918292,3124.298166,718,3,CA,259,1,BA,0,0,15,0,1500,0,INTERNET,31.79881936,windows,0,1,0,7
1,0.9,0.044985487,-1,132,40,3.108548793,-0.755727701,AC,870,4048.534263,2893.621498,3159.590679,1,14,CB,177,1,BA,0,1,-1,0,200,0,INTERNET,4.728704865,other,0,1,0,7
1,0.9,0.159511175,-1,22,50,0.019079435,-1.205124158,AB,810,3457.064063,4054.908412,3022.261812,1921,6,CA,110,1,BA,0,1,31,1,200,0,INTERNET,2.047904422,linux,0,1,0,7
1,0.9,0.596413725,-1,218,50,0.004440522,-0.7732757,AB,890,5020.341679,2728.237159,3087.670952,1990,2,CA,295,1,BA,1,0,31,0,1500,0,INTERNET,3.77522495,macintosh,1,1,0,7
1,0.3,0.143921035,-1,30,30,0.028230541,-0.748281903,AD,732,3223.248406,3804.803402,5078.692467,5,13,CA,199,1,BB,0,1,15,0,200,0,INTERNET,4.815073224,windows,0,1,0,7
1,0.7,0.321554395,-1,152,30,0.030679777,-0.278993604,AB,876,5515.771548,2653.430035,3089.788379,13,10,CA,272,1,BA,1,1,30,0,1500,0,INTERNET,1.558977467,windows,1,1,0,7
1,0.9,0.064817101,-1,18,50,0.034556623,-1.265721012,AB,901,4736.214496,6733.70389,3826.12917,40,1,CB,83,1,BB,1,0,28,0,200,1,INTERNET,2.637471764,linux,0,1,0,7
1,0.7,0.065937873,-1,64,40,0.020690707,-1.442082174,AB,933,6101.250655,3849.761426,3089.27113,2134,4,CC,222,0,BA,1,1,30,0,1500,0,INTERNET,2.175419308,windows,1,1,0,7
1,0.9,0.700096167,-1,60,40,0.016809382,-1.07027142,AB,1176,4504.470396,3793.831786,3061.245889,8,2,CB,118,1,BC,0,1,25,0,200,0,INTERNET,24.04072647,windows,0,1,0,7
1,0.9,0.703082739,-1,131,30,6.735898071,40.49766199,AA,951,4980.093293,3828.922429,3163.35224,4,5,CB,229,0,BA,0,1,1,0,200,0,INTERNET,17.0237239,windows,1,1,0,7
1,0.9,0.856957999,-1,109,40,0.009910447,-1.013448569,AD,728,4167.445263,2770.175851,3117.306377,17,5,CA,95,0,BC,0,1,11,0,200,0,INTERNET,5.099527595,windows,0,1,0,7
1,0.9,0.451801982,-1,107,30,0.03555945,-0.050991353,AC,1915,3017.526731,2295.067639,3653.963028,11,10,CA,296,1,BA,1,1,-1,0,2000,1,INTERNET,9.608223134,linux,0,1,0,7
1,0.3,0.309680296,92,123,20,7.391355196,35.18835167,AA,136,3809.557167,3798.301048,3134.91485,11,9,CB,172,1,BA,0,1,22,0,200,0,INTERNET,11.23345309,other,1,1,0,7
1,0.9,0.391399715,-1,37,40,0.001482698,-0.371351898,AB,474,3757.174008,4426.267514,3050.92748,1391,4,CA,229,1,BD,1,1,28,0,1500,0,INTERNET,1.208232697,windows,0,1,0,7
1,0.6,0.302342109,-1,55,40,23.81917314,-1.562999537,AB,631,5442.985207,3709.061268,3155.497548,0,11,CA,119,1,BC,0,1,-1,0,200,0,INTERNET,10.39993149,windows,0,1,0,7
1,0.9,0.06661392,-1,173,40,0.042103052,-1.216021619,AB,683,4422.169075,2385.245787,3078.978862,14,5,CA,12,1,BA,0,1,28,0,200,0,INTERNET,2.826891926,windows,0,1,0,7
1,0.7,0.130321706,-1,50,30,0.012562575,-1.18248866,AB,1180,1628.561553,4084.07329,3082.049852,18,5,CA,302,1,BA,0,1,25,0,2000,0,INTERNET,4.708033436,windows,1,1,0,7
1,0.9,0.160811464,-1,94,30,0.000970042,-0.931167248,AD,923,875.4912958,3033.649389,3148.484895,16,10,CA,199,1,BA,0,1,28,0,500,0,INTERNET,3.761719379,windows,0,1,0,7
1,0.4,0.292941279,-1,153,30,0.001561143,-0.540028257,AC,1052,3572.932904,2889.219784,3148.747548,1,9,CA,181,0,BA,1,0,-1,0,1500,0,INTERNET,2.129957137,other,1,1,0,7
1,0.9,0.066695007,-1,82,50,0.007175593,-0.803946038,AC,570,4350.738684,3134.771052,3094.241541,0,5,CA,234,1,BA,0,1,-1,0,1900,0,INTERNET,3.635425225,linux,0,1,0,7
1,0.7,0.241650984,172,9,30,0.000936714,-1.313046149,AC,982,1521.957454,2434.593014,3131.254604,0,10,CA,115,1,BC,1,1,-1,0,200,0,INTERNET,1.383128004,other,0,1,0,7
1,0.7,0.106704599,-1,19,30,0.024340428,-0.497678041,AB,236,4520.152627,3862.791692,3103.816648,13,9,CA,308,1,BC,0,1,1,0,500,1,INTERNET,5.365338002,macintosh,1,1,0,7
1,0.9,0.104618756,-1,184,40,0.007483515,-0.694122133,AD,991,917.2410886,2703.462606,3134.100876,1,5,CA,201,0,BA,0,1,30,0,1000,0,INTERNET,3.745341971,windows,1,1,0,7
1,0.9,0.491198072,-1,56,30,0.015427337,-0.236495063,AD,324,4365.424836,2410.635195,3088.516083,12,5,CD,201,0,BC,1,1,31,0,200,0,INTERNET,11.61012037,windows,1,1,0,7
1,0.6,0.490631931,-1,5,50,0.001960942,-0.703993846,AC,1290,486.3320356,5970.211899,3163.076447,0,2,CC,125,1,BB,1,0,-1,0,200,0,INTERNET,2.261669567,windows,1,2,0,7
1,0.2,0.269909075,-1,90,40,0.007764852,-1.357385575,AC,522,5337.837673,3697.051521,3048.97936,0,2,CA,299,0,BB,1,1,-1,0,1500,0,INTERNET,33.68604414,windows,0,1,0,7
1,0.9,0.781396431,-1,56,30,0.00869885,-0.480436733,AB,1212,3937.468847,2819.958017,3083.446187,2,8,CA,275,1,BA,0,1,9,0,1000,0,INTERNET,3.117071919,windows,0,1,0,7
1,0.9,0.295498087,-1,78,50,0.005132896,-0.377934684,AD,837,2912.332052,3247.996632,3101.860076,11,3,CA,319,0,BA,0,1,31,0,1500,0,INTERNET,6.108820685,linux,0,1,0,7
1,0.8,0.132444825,28,3,20,0.006621841,31.22178465,AA,2449,4258.297869,2439.519489,3110.975608,1,7,CA,125,1,BC,1,1,-1,0,500,0,INTERNET,6.535757355,windows,0,1,0,7
1,0.9,0.611553153,-1,162,50,0.01017334,-0.309732233,AC,839,1369.4597,2766.34259,3120.622078,0,6,CA,220,1,BA,0,1,-1,0,200,0,INTERNET,3.531938991,windows,0,1,0,7
1,0.3,0.619040299,-1,34,40,0.008319072,-1.722542535,AD,677,3481.820194,3125.331499,3062.834534,13,7,CA,106,0,BC,1,0,21,0,200,0,INTERNET,10.86120354,windows,1,1,0,7
1,0.9,0.832799604,-1,90,20,0.016712046,-0.454127239,AC,559,5936.174383,2854.426101,3159.591136,0,3,CA,181,0,BA,0,0,-1,1,1000,0,INTERNET,2.785221623,windows,0,1,0,7
1,0.7,0.074948539,-1,112,70,0.000739596,-0.591731339,AB,1317,1024.642599,3285.089484,3108.661426,15,4,CB,112,1,BB,0,1,5,0,200,0,INTERNET,5.511145445,windows,1,1,0,7
1,0.9,0.376671355,-1,23,30,0.000484876,101.255379,AA,2285,4540.208791,2890.57611,3072.159144,15,7,CA,251,0,BA,0,1,15,1,1500,0,INTERNET,4.712633768,macintosh,0,1,0,7
1,0.1,0.088724857,-1,99,40,0.018662234,23.81022983,AA,1335,1713.244552,2303.101067,3093.913406,1,8,CB,108,1,BA,1,0,10,0,200,0,INTERNET,14.78090372,linux,1,1,0,7
1,0.9,0.068220918,-1,44,30,0.025486371,-1.283827887,AB,761,4784.848852,4517.082313,3097.999034,10,17,CA,145,1,BD,0,0,1,0,1000,0,INTERNET,2.847263075,windows,0,1,0,7
1,0.9,0.201924127,-1,51,50,0.001009654,-1.450362025,AB,1406,2004.155465,2891.699207,3177.35156,11,5,CA,50,1,BA,0,1,15,1,200,0,INTERNET,1.416945503,windows,0,2,0,7
1,0.9,0.316623652,-1,140,30,0.019688885,-1.752950895,AC,362,2973.519287,3310.546129,3112.540695,1,6,CA,171,1,BC,0,1,15,0,500,0,INTERNET,1.358219048,windows,1,1,0,7
1,0.8,0.810262525,-1,62,50,0.02545659,-1.187202186,AC,936,4762.717778,3170.985394,3073.967977,0,1,CC,103,1,BB,1,1,-1,0,200,0,INTERNET,11.08748731,windows,1,1,0,7
1,0.7,0.804880146,-1,22,30,0.02691696,-1.301108686,AD,724,5262.980553,3531.072009,3064.264049,12,3,CA,166,0,BC,0,1,10,0,200,0,INTERNET,4.157471474,linux,1,1,0,7
1,0.7,0.556517224,-1,98,30,0.002416715,-1.276916491,AD,986,4113.693375,3232.933993,3099.635285,9,7,CA,189,0,BD,0,1,30,0,1000,0,INTERNET,5.873537537,windows,1,1,0,7
1,0.6,0.11429474,-1,135,60,0.013916741,-0.818940819,AB,575,5274.703139,6000.300513,3070.719405,173,2,CA,24,1,BA,0,1,28,0,200,0,INTERNET,4.530193802,macintosh,0,1,0,7
1,0.7,0.161949788,289,209,40,0.00819528,-0.837461987,AC,679,1213.608342,2867.661501,3123.982404,1,10,CA,272,0,BA,1,0,-1,0,2000,0,INTERNET,9.36677786,windows,0,1,0,7
1,0.9,0.080745536,-1,72,30,0.023312618,-0.538654467,AC,708,601.0776037,4277.396601,3097.630697,0,11,CA,215,0,BB,0,1,-1,0,500,0,INTERNET,3.482354089,windows,0,1,0,7
1,0.9,0.035082964,-1,22,30,0.020437686,-1.589220994,AB,1214,2902.219723,2497.821239,3143.367684,16,6,CA,236,1,BC,0,1,30,0,500,0,INTERNET,5.282964028,linux,0,1,0,7
1,0.4,0.149520474,-1,229,50,21.91362792,-1.168654672,AC,915,5549.085942,3349.941674,3076.396147,0,4,CA,223,1,BA,0,1,-1,0,500,0,INTERNET,8.9803155,windows,1,1,0,7
1,0.9,0.802693781,-1,185,50,0.004744432,-1.038058681,AC,534,4043.753871,1762.257341,3120.858852,2,2,CA,320,1,BA,0,1,-1,0,1500,0,INTERNET,5.784260395,windows,0,1,0,7
1,0.8,0.208211243,35,14,40,0.011245192,51.68998678,AA,523,1094.140704,6206.565455,3131.545425,13,7,CA,214,1,BC,0,1,25,0,200,0,INTERNET,4.19540475,windows,0,1,0,7
1,0.6,0.303982911,-1,71,30,0.004014514,-0.888638501,AC,1190,1982.543659,1850.168219,3127.501014,9,11,CA,269,1,BA,0,1,-1,0,1500,0,INTERNET,1.520621693,windows,0,1,0,7
1,0.9,0.988617957,-1,239,50,0.002760165,-0.676871859,AB,794,6065.005931,3793.661134,5154.175419,8,6,CA,105,0,BA,0,0,30,0,200,0,INTERNET,4.343832425,windows,0,2,0,7
1,0.9,0.074742846,-1,183,30,0.037703208,-1.458921897,AB,406,1503.648771,2326.061255,3173.367628,8,7,CA,295,0,BA,0,1,2,0,1000,0,INTERNET,3.04244827,windows,1,1,0,7
1,0.3,0.491472662,-1,16,40,0.025308158,-1.442469998,AC,725,1047.375959,2060.666382,3128.986467,0,10,CA,113,1,BA,0,1,-1,0,1000,0,INTERNET,3.136988735,linux,1,1,0,7
1,0.9,0.854724574,-1,141,40,0.02603386,-1.033065208,AB,735,2827.511389,2574.859813,3087.18268,14,5,CA,193,1,BA,1,1,25,0,990,0,INTERNET,1.306814924,windows,1,1,0,7
1,0.9,0.125452554,-1,186,30,0.004315104,-1.099654844,AC,1049,3476.076707,2220.760781,3163.597713,0,7,CA,143,0,BA,0,1,-1,0,200,1,INTERNET,3.070971406,linux,1,1,0,7
1,0.9,0.744704611,-1,26,40,0.008679118,-0.752570737,AB,1144,7726.575304,2566.778181,3127.754458,12,4,CA,320,1,BA,0,1,10,0,1900,1,INTERNET,4.301425465,windows,0,1,0,7
1,0.5,0.880054641,-1,63,20,0.021951958,-0.480326643,AB,398,5914.247501,3987.769583,3079.079487,13,2,CA,145,1,BC,1,0,31,0,200,0,INTERNET,9.943046359,windows,0,2,0,7
1,0.9,0.202308444,-1,184,80,2.624029282,-0.565782281,AC,581,4186.801912,3396.851965,3146.845135,0,2,CA,278,0,BA,0,1,-1,0,1900,0,INTERNET,3.130903164,windows,0,1,0,7
1,0.9,0.052694584,-1,142,50,0.00551778,-0.397349187,AB,1585,894.0485219,3216.056669,3077.21265,16,2,CA,155,0,BA,0,1,2,0,500,0,INTERNET,0.408864721,windows,0,1,0,7
1,0.9,0.527136913,-1,80,40,0.019629659,-0.294555777,AB,206,1536.048554,2740.07424,3077.470793,1,8,CA,296,1,BA,0,1,1,0,1000,0,INTERNET,6.476613842,windows,0,1,0,7
1,0.6,0.611398082,-1,199,40,0.017455279,-0.994703924,AB,513,1152.670432,1867.816132,3153.075094,10,10,CE,83,1,BB,0,1,31,0,500,0,INTERNET,1.309169004,linux,1,1,0,7
1,0.9,0.086208355,-1,119,50,0.018687073,-0.788469974,AB,1169,3100.922647,2815.203755,3113.367772,17,4,CA,205,1,BA,0,1,30,0,2000,0,INTERNET,4.068211172,linux,1,1,0,7
